,nome_ies_origem_norm,uf_ies_origem,frequencia
360,oregon state university,OREGON,3
361,newcastle university,ENGLAND,3
362,universidade de evora,DISTRITO DE EVORA,3
363,national research council canada,ONTARIO,3
364,universidade do oeste de santa catarina,SANTA CATARINA,3
365,universidade do estado do para,PARÁ,3
366,massachusetts institute of technology,MASSACHUSETTS,3
367,louisiana state university system,LOUISIANA,3
368,colegio pedro ii,RIO DE JANEIRO,3
369,colorado state university system,COLORADO,3
370,queen s university,ONTARIO,3
371,universidade da coruna,GALICIA,3
372,universidade catolica portuguesa,DISTRITO DO PORTO,3
373,purdue university,INDIANA,3
374,university of adelaide,STATE OF SOUTH AUSTRALIA,3
375,centro universitario senac,SÃO PAULO,3
376,universiteit leiden,PROVINCIE ZUID-HOLLAND,3
377,universiteit van amsterdam,PROVINCIE NOORD-HOLLAND,3
378,aix marseille universite,REGION PROVENCE-ALPES-COTE D'AZUR,3
379,aalborg universitet,REGION NORDJYLLAND,3
380,banco central do brasil,DISTRITO FEDERAL,3
381,universite de versailles saint quentin en yvelines,REGION ILE-DE-FRANCE,3
382,technische universiteit delft,PROVINCIE ZUID-HOLLAND,3
383,universidad del pais vasco,EUSKAL AUTONOMIA ERKIDEGOA,3
384,sorbonne universite,REGION ILE-DE-FRANCE,3
385,university of copenhagen,REGION HOVEDSTADEN,2
386,the university of edinburgh,SCOTLAND,2
387,universidad austral de chile,REGION DE LOS RIOS,2
388,instituto carlos chagas,PARANÁ,2
389,university of glasgow,SCOTLAND,2
390,instit federal de educacao ciencia e tecnologia de goias,GOIÁS,2
391,instituto agronomico do parana,PARANÁ,2
392,instituto federal de educacao ciencia e tecnologia do maranhao monte castelo,MARANHÃO,2
393,instituto de pesq tecnologicas do estado de sao paulo,SÃO PAULO,2
394,instituto federal de educacao ciencia e tecnologia de mato grosso,MATO GROSSO,2
395,instituto brasileiro de informacao ciencia e tecnologia,DISTRITO FEDERAL,2
396,instituto federal de educacao ciencia e tecnologia de goias,GOIÁS,2
397,institut de hautes etudes internationales et du developpement,CANTON DE GENEVE,2
398,the university of manchester,ENGLAND,2
399,the university of tokyo,TOKYO-TO,2
400,instituto federal de educacao ciencia e tecnologia de brasilia,DISTRITO FEDERAL,2
401,universidade estadual paulista julio de mesquita filho jaboticabal,SÃO PAULO,2
402,universidade estadual paulista julio de mesquita filho bauru,SÃO PAULO,2
403,universidade estadual paulista julio de mesquita filho assis,SÃO PAULO,2
404,brandenburgische technische universitat cottbus senftenberg,LAND BRANDENBURG,2
405,university of surrey,ENGLAND,2
406,university of waterloo,ONTARIO,2
407,university of sussex,ENGLAND,2
408,uppsala universitet,UPPSALA LAEN,2
409,university of wyoming,WYOMING,2
410,university of washington,WASHINGTON,2
411,university of victoria,BRITISH COLUMBIA,2
412,wake forest university,NORTH CAROLINA,2
413,vrije universiteit brussel,BRUXELLES-CAPITALE,2
414,universidad agraria de la habana,PROVINCIA DE LA HABANA,2
415,universidad autonoma metropolitana,DISTRITO FEDERAL,2
416,university of kent,ENGLAND,2
417,centre de cooperation internationale en recherche agronomique pour le developpement,REGION LANGUEDOC-ROUSSILLON,2
418,brunel university london,ENGLAND,2
419,centro de aperfeicoamento e estudos superiores,SÃO PAULO,2
420,centre national de la recherche scientifique,REGION MIDI-PYRENEES,2
421,centro de tecnologia minera,RIO DE JANEIRO,2
422,university of minnesota,MINNESOTA,2
423,university of miami,FLORIDA,2
424,universidad de cantabria,COMUNIDAD AUTONOMA DE CANTABRIA,2
425,universidad de cadiz,ANDALUCIA,2
426,university of pretoria,GAUTENG,2
427,university of nevada reno,NEVADA,2
428,university of newcastle,STATE OF NEW SOUTH WALES,2
429,university of nottingham,ENGLAND,2
430,university of ontario institute of technology,ONTARIO,2
431,university of massachusetts system,MASSACHUSETTS,2
432,universidade vale do rio doce,MINAS GERAIS,2
433,universidade sao judas tadeu,SÃO PAULO,2
434,universita degli studi di milano bicocca milano,REGIONE LOMBARDIA,2
435,escola superior dom helder camara,MINAS GERAIS,2
436,faculdade casper libero,SÃO PAULO,2
437,escola superior de agricultura luiz de queiroz esalq usp,SÃO PAULO,2
438,faculdade de ciencias medicas de minas gerais,MINAS GERAIS,2
439,universita degli studi di roma la sapienza,REGIONE LAZIO,2
440,universita degli studi roma tre,REGIONE LAZIO,2
441,universita degli studi di palermo,REGIONE AUTONOMA SICILIANA,2
442,universita della svizzera italiana,CANTONE TICINO,2
443,universita del salento,REGIONE PUGLIA,2
444,instituto politecnico de leiria,DISTRITO DE LEIRIA,2
445,instituto politecnico nacional,DISTRITO FEDERAL,2
446,universidade do vale do sapucai,MINAS GERAIS,2
447,lancaster university,ENGLAND,2
448,fundacao ezequiel dias,MINAS GERAIS,2
449,friedrich schiller universitat jena,FREISTAAT THURINGEN,2
450,faculdade meridional,RIO GRANDE DO SUL,2
451,universidade norte do parana,PARANÁ,2
452,fundacao brasileira de teatro,DISTRITO FEDERAL,2
453,fundacao casa de rui barbosa,RIO DE JANEIRO,2
454,florida university usa,FLORIDA,2
455,faculdades oswaldo cruz,SÃO PAULO,2
456,instit nac metrologia normalizacao e qualidade industrial,RIO DE JANEIRO,2
457,hogskolan i halmstad,HALLANDS LAEN,2
458,heriot watt university,SCOTLAND,2
459,icahn school of medicine at mount sinai,NEW YORK,2
460,georgia institute of technology,GEORGIA,2
461,globe university woodbury,MINNESOTA,2
462,universidade federal do sul da bahia,BAHIA,2
463,fundacao universidade estadual do piaui fuespi,PIAUÍ,2
464,instituto do coracao,SÃO PAULO,2
465,instituto metodista isabela hendrix imih,MINAS GERAIS,2
466,instituto de aeronautica e espaco ministerio da defesa,SÃO PAULO,2
467,escola bahiana de medicina e saude publica,BAHIA,2
468,empresa de pesquisa agropecuaria de minas gerais,MINAS GERAIS,2
469,osaka university,OSAKA-FU,2
470,north carolina state university,NORTH CAROLINA,2
471,northeastern university,MASSACHUSETTS,2
472,politecnico di torino,REGIONE PIEMONTE,2
473,observatoire de paris,REGION ILE-DE-FRANCE,2
474,universitat pompeu fabra,CATALUNYA,2
475,universite de bordeaux,REGION AQUITAINE,2
476,universite catholique de louvain,WALLOON REGION,2
477,universite de bretagne occidentale,REGION BRETAGNE,2
478,dalhousie university,NOVA SCOTIA,2
479,ecole nationale superieure d architecture de paris la villette,REGION ILE-DE-FRANCE,2
480,ecole polytechnique federale de lausanne,CANTON DE VAUD,2
481,escola de comando e estado maior do exercito,RIO DE JANEIRO,2
482,escola de administracao de empresas de sao paulo,SÃO PAULO,2
483,pennsylvania state university,PENNSYLVANIA,2
484,universidade do algarve,DISTRITO DE FARO,2
485,ohio university,OHIO,2
486,universidade de taubate,SÃO PAULO,2
487,universidade de sorocaba,SÃO PAULO,2
488,politecnico di milano,REGIONE LOMBARDIA,2
489,universidade do mindelo,CONCELHO DE SAO VICENTE,2
490,universidade de vassouras,RIO DE JANEIRO,2
491,linkopings universitet,OESTERGOETLANDS LAEN,2
492,lunds universitet,SKANE LAEN,2
493,national academy of sciences of belarus,MINSKAYA VOBLASTS',2
494,universidade veiga de almeida,RIO DE JANEIRO,2
495,museum national d histoire naturelle,REGION ILE-DE-FRANCE,2
496,universite de rouen,REGION HAUTE-NORMANDIE,2
497,universite de poitiers,REGION POITOU-CHARENTES,2
498,universite jean moulin lyon 3,REGION RHONE-ALPES,2
499,universite francois rabelais de tours,REGION CENTRE,2
500,universite nice sophia antipolis,REGION PROVENCE-ALPES-COTE D'AZUR,2
501,universitat bremen,BREMEN,2
502,universite lille 1 sciences et technologies,REGION NORD-PAS-DE-CALAIS,2
503,universite lumiere lyon 2,REGION RHONE-ALPES,2
504,universitat bern,KANTON BERN,2
505,universitat bielefeld,LAND NORDRHEIN-WESTFALEN,2
506,universitat bayreuth,FREISTAAT BAYERN,2
507,universitat bonn,LAND NORDRHEIN-WESTFALEN,2
508,universitat salzburg,SALZBURG,2
509,universitat duisburg essen essen,LAND NORDRHEIN-WESTFALEN,2
510,universitat konstanz,BADEN-WUERTTEMBERG,2
511,universitat leipzig,FREISTAAT SACHSEN,2
512,scuola superiore sant anna,REGIONE TOSCANA,2
513,universidade da amazonia,PARÁ,2
514,universidade da integracao internacional da lusofonia afro brasileira,CEARÁ,2
515,universidade catolica portuguesa,DISTRITO DE LISBOA,2
516,university of central florida,FLORIDA,2
517,queensland university of technology,STATE OF QUEENSLAND,2
518,university of delhi,NATIONAL CAPITAL TERRITORY OF DELHI,2
519,pontificia universita gregoriana,REGIONE LAZIO,2
520,centro universitario fei,SÃO PAULO,2
521,centro universitario euro americano,DISTRITO FEDERAL,2
522,consiglio nazionale delle ricerche,REGIONE LAZIO,2
523,coordenadoria controle de doencas da sec est da saude de sp,SÃO PAULO,2
524,columbia university,NEW YORK,2
525,consejo nacional de ciencia y tecnologia,DISTRITO FEDERAL,2
526,universite de sherbrooke,QUEBEC,2
527,conservatoire national des arts et metiers,REGION ILE-DE-FRANCE,2
528,university of bristol,ENGLAND,2
529,university of bath,ENGLAND,2
530,university of birmingham,ENGLAND,2
531,university of brighton,ENGLAND,2
532,centro universitario de belo horizonte,MINAS GERAIS,2
533,centro universitario metodista ipa,RIO GRANDE DO SUL,2
534,universidad nacional de san martin,CIUDAD AUTONOMA DE BUENOS AIRES,2
535,universite paris sud paris xi,REGION ILE-DE-FRANCE,2
536,technische universitat munchen,FREISTAAT BAYERN,2
537,universidad nacional de colombia,DISTRITO CAPITAL DE BOGOTA,2
538,state university of new york system,NEW YORK,2
539,stanford university,CALIFORNIA,2
540,swansea university,WALES,2
541,universidad de valladolid,CASTILLA Y LEON,2
542,universidad nacional de rosario,PROVINCIA DE SANTA FE,2
543,universite pantheon sorbonne paris i,REGION ILE-DE-FRANCE,2
544,universidad de pinar del rio hermanos saiz montes de oca,PROVINCIA DE PINAR DEL RIO,2
545,universidad de oviedo,PRINCIPADO DE ASTURIAS,2
546,universidad de navarra,NAVARRA,2
547,universidad de cordoba,ANDALUCIA,2
548,bauhaus universitat weimar,FREISTAAT THURINGEN,2
549,akademie vd eske republiky,HLAVNI MESTO PRAHA,2
550,universidad de extremadura,EXTREMADURA,2
551,universidad de almeria,ANDALUCIA,2
552,university of st andrews,SCOTLAND,2
553,architectural association school of architecture,ENGLAND,2
554,auburn university,ALABAMA,2
555,aston university,ENGLAND,2
556,yale university,CONNECTICUT,2
557,advocacia geral da uniao,DISTRITO FEDERAL,2
558,agencia nacional de aguas ana,DISTRITO FEDERAL,2
559,agrocampus ouest,REGION BRETAGNE,2
560,york university,ONTARIO,1
561,aberystwyth university,WALES,1
562,agencia nacional de aviacao civil anac,DISTRITO FEDERAL,1
563,arts et metiers paristech cluny,REGION BOURGOGNE,1
564,associacao de ensino unificado do distrito federal,DISTRITO FEDERAL,1
565,associacao nacional de matematica pura aplicada,RIO DE JANEIRO,1
566,azusa pacific university,CALIFORNIA,1
567,ball state university,INDIANA,1
568,bangor university,WALES,1
569,baptist hospitals of southeast texas school of radiologic beaumont,TEXAS,1
570,bates college,MAINE,1
571,benemerita universidad autonoma de puebla,ESTADO DE PUEBLA,1
572,bergische universitat wuppertal,LAND NORDRHEIN-WESTFALEN,1
573,bilkent universitesi,ANKARA,1
574,blekinge tekniska hogskola,BLEKINGE LAEN,1
575,bloomsburg university of pennsylvania,PENNSYLVANIA,1
576,bournemouth university,ENGLAND,1
577,university of the arts london,ENGLAND,1
578,university of the western cape,PROVINCE OF THE WESTERN CAPE,1
579,university of thessaly,THESSALY,1
580,university of tsukuba,IBARAKI-KEN,1
581,university of utah,UTAH,1
582,university of virginia,VIRGINIA,1
583,university of waikato,WAIKATO,1
584,centre national de la recherche scientifique,REGION LANGUEDOC-ROUSSILLON,1
585,centro de estudos e sistemas avancados do recife,PERNAMBUCO,1
586,centro de investigacion cientifica y de educacion superior d,CALIFORNIA,1
587,centro de investigaciones energeticas medioambientales y tecnologicas,COMUNIDAD DE MADRID,1
588,centro de tecnologia da informacao renato archer,SÃO PAULO,1
589,centro de tecnologia mineral,RIO DE JANEIRO,1
590,centro nacional de sanidad agropecuaria,PROVINCIA MAYABEQUE,1
591,centro regional universitario de espirito santo do pinhal,SÃO PAULO,1
592,brunel university,ENGLAND,1
593,cambridge institute of allied health technology,FLORIDA,1
594,carleton university,ONTARIO,1
595,case western reserve university,OHIO,1
596,cedars sinai medical center,CALIFORNIA,1
597,central china normal university,HUBEI SHENG,1
598,centre for agricultural bioscience international,ENGLAND,1
599,centre national de la recherche scientifique,REGION ILE-DE-FRANCE,1
600,university of denver,COLORADO,1
601,university of east anglia,ENGLAND,1
602,university of helsinki,PROVINCE OF WESTERN FINLAND,1
603,university of iowa,IOWA,1
604,university of leicester,ENGLAND,1
605,university of liverpool,ENGLAND,1
606,university of london the london school of economics and po,PROVINCE OF WESTERN FINLAND,1
607,university of manitoba,MANITOBA,1
608,centrum voor studie en documentatie van latijns amerika,PROVINCIE NOORD-HOLLAND,1
609,university of calgary,ALBERTA,1
610,university of central arkansas,ARKANSAS,1
611,university of cincinnati,OHIO,1
612,university of colorado system administration,COLORADO,1
613,university of connecticut,CONNECTICUT,1
614,university of cyprus,NICOSIA DISTRICT,1
615,university of delaware,DELAWARE,1
616,syddansk universitet,REGION SYDDANMARK,1
617,tampereen teknillinen yliopisto,PROVINCE OF WESTERN FINLAND,1
618,technische universitat berlin,LAND BERLIN,1
619,technische universitat braunschweig,LAND NIEDERSACHSEN,1
620,technische universitat chemnitz,FREISTAAT SACHSEN,1
621,technische universitat clausthal,LAND NIEDERSACHSEN,1
622,technische universitat darmstadt,LAND HESSEN,1
623,technische universitat hamburg harburg,FREIE UND HANSESTADT HAMBURG,1
624,sony computer science laboratory paris,REGION ILE-DE-FRANCE,1
625,southern cross university,STATE OF NEW SOUTH WALES,1
626,southern illinois university,ILLINOIS,1
627,stanford research institute sri international silicon valley,CALIFORNIA,1
628,stockholms universitet,STOCKHOLMS LAEN,1
629,sveriges lantbruksuniversitet,UPPSALA LAEN,1
630,swinburne university of technology,STATE OF VICTORIA,1
631,swiss tropical and public health institute,KANTON BASEL-STADT,1
632,universidad de cienfuegos,PROVINCIA DE CIENFUEGOS,1
633,universidad de deusto,EUSKAL AUTONOMIA ERKIDEGOA,1
634,universidad de huelva,ANDALUCIA,1
635,universidad de la laguna,COMUNIDAD AUTONOMA DE CANARIAS,1
636,universidad de los andes,DISTRITO CAPITAL DE BOGOTA,1
637,universidad de matanzas camilo cienfuegos,PROVINCIA DE MATANZAS,1
638,smithsonian conservation biology institute front royal,VIRGINIA,1
639,sofia university,OBLAST SOFIYA-GRAD,1
640,universidad autonoma de baja california,ESTADO DE BAJA CALIFORNIA,1
641,universidad autonoma de nuevo leon,ESTADO DE NUEVO LEON,1
642,universidad carlos iii de madrid,COMUNIDAD DE MADRID,1
643,universidad catolica de valencia san vicente martir,COMUNITAT VALENCIANA,1
644,universidad central de venezuela,DISTRITO CAPITAL,1
645,universidad de alcala,COMUNIDAD DE MADRID,1
646,universidad de antioquia,DEPARTAMENTO DE ANTIOQUIA,1
647,universidad de castilla la mancha,CASTILLA-LA MANCHA,1
648,rijksuniversiteit groningen,PROVINCIE GRONINGEN,1
649,robert gordon university,SCOTLAND,1
650,rush university,ILLINOIS,1
651,russian academy of sciences,MOSKVA,1
652,rutgers university,NEW JERSEY,1
653,saint louis university,MISSOURI,1
654,saint petersburg state polytechnical university,SANKT-PETERBURG,1
655,sam houston state university,TEXAS,1
656,universidade braz cubas,SÃO PAULO,1
657,universidade castelo branco,RIO DE JANEIRO,1
658,universidade catolica de mocambique,SOFALA PROVINCE,1
659,princeton university,NEW JERSEY,1
660,queen s university belfast,NORTHERN IRELAND,1
661,rede record de televisao,RIO DE JANEIRO,1
662,rheinisch westfaelische technische hochschule aachen,LAND NORDRHEIN-WESTFALEN,1
663,rice university,TEXAS,1
664,universidad nacional de la plata,PROVINCIA DE BUENOS AIRES,1
665,universidad nacional de rio negro,PROVINCIA DE RIO NEGRO,1
666,universidad nacional del centro de la provincia de buenos aires,PROVINCIA DE BUENOS AIRES,1
667,universidad nacional del sur,CIUDAD AUTONOMA DE BUENOS AIRES,1
668,universidad pablo de olavide,ANDALUCIA,1
669,universidad pontificia de salamanca,CASTILLA Y LEON,1
670,universidad rey juan carlos,COMUNIDAD DE MADRID,1
671,universidad san carlos,ASUNCION,1
672,tel aviv university,TEL AVIV DISTRICT,1
673,texas tech university,TEXAS,1
674,the boston conservatory,MASSACHUSETTS,1
675,the federal university of technology akure,ONDO STATE,1
676,universidad internacional de andalucia,ANDALUCIA,1
677,universidad nacional agraria la molina,PROVINCIA DE LIMA,1
678,universidad nacional de cordoba,PROVINCIA DE CORDOBA,1
679,universidad nacional de educacion a distancia,COMUNIDAD DE MADRID,1
680,norwegian university of science and technology gjovik,OPPLAND FYLKE,1
681,oklahoma state university tulsa,OKLAHOMA,1
682,osterreichische akademie der wissenschaften,WIEN,1
683,ostravska univerzita,MORAVSKOSLEZSKY KRAJ,1
684,ottawa hospital research institute,ONTARIO,1
685,ottawa university,KANSAS,1
686,oxford brookes university,ENGLAND,1
687,plymouth university,ENGLAND,1
688,national university of singapore,CENTRAL SINGAPORE COMMUNITY DEVELOPMENT COUNCIL,1
689,naturhistoriska riksmuseet,STOCKHOLMS LAEN,1
690,nederlands instituut voor ecologie,PROVINCIE GELDERLAND,1
691,new england conservatory of music,MASSACHUSETTS,1
692,new saint andrews college,IDAHO,1
693,nikolaev institute of inorganic chemistry,NOVOSIBIRSKAYA OBLAST',1
694,northern illinois university,ILLINOIS,1
695,northwestern university,ILLINOIS,1
696,universidade comunitaria da regiao de chapeco,SANTA CATARINA,1
697,universidade de araraquara,SÃO PAULO,1
698,universidade de coimbra faculdade de letras,DISTRITO DE COIMBRA,1
699,universidade de cruz alta,RIO GRANDE DO SUL,1
700,universidade de cuiaba,MATO GROSSO,1
701,universidade de marilia,SÃO PAULO,1
702,national renewable energy laboratory,COLORADO,1
703,national research university higher school of economics,MOSKVA,1
704,san jose state university,CALIFORNIA,1
705,sanford burnham prebys medical discovery institute,CALIFORNIA,1
706,secretaria de estado da saude de sao paulo,SÃO PAULO,1
707,secretaria de estado de educacao do distrito federal sedf,DISTRITO FEDERAL,1
708,secretaria municipal de educacao,SANTA CATARINA,1
709,simon fraser university,BRITISH COLUMBIA,1
710,universidade catolica de petropolis,RIO DE JANEIRO,1
711,universidade cesumar,PARANÁ,1
712,national center for atmospheric research,COLORADO,1
713,national institute for minamata disease,KUMAMOTO-KEN,1
714,national optical astronomy observatory,ARIZONA,1
715,instituto nacional de saude dr ricardo jorge,DISTRITO DO PORTO,1
716,instituto nacional de tecnologia,RIO DE JANEIRO,1
717,instituto politecnico de beja,DISTRITO DE BEJA,1
718,instituto politecnico de braganca,DISTRITO DE BRAGANCA,1
719,instituto politecnico de lisboa escola superior de educaca,DISTRITO DE AVEIRO,1
720,ministerio da agricultura pecuaria e abastecimento,DISTRITO FEDERAL,1
721,ministerio do planejamento orcamento e gestao,DISTRITO FEDERAL,1
722,ministerio publico federal,DISTRITO FEDERAL,1
723,minneapolis community and technical college,MINNESOTA,1
724,missouri botanical garden,MISSOURI,1
725,missouri department of transportation st louis area district ue,MISSOURI,1
726,musik akademie basel,KANTON BASEL-STADT,1
727,national aeronautics and space administration,DISTRICT OF COLUMBIA,1
728,liverpool john moores university,ENGLAND,1
729,loughborough university,ENGLAND,1
730,lulea tekniska universitet,NORRBOTTENS LAEN,1
731,marie selby botanical gardens,FLORIDA,1
732,massey university,MANAWATU-WANGANUI,1
733,mayo clinic,ARIZONA,1
734,mcmaster university,ONTARIO,1
735,miami university,OHIO,1
736,politecnico di bari,REGIONE PUGLIA,1
737,universidade de santo amaro,SÃO PAULO,1
738,universidade do contestado,SANTA CATARINA,1
739,universidade do federal do pampa,RIO GRANDE DO SUL,1
740,universidade do sagrado coracao,SÃO PAULO,1
741,leibniz gemeinschaft,LAND MECKLENBURG-VORPOMMERN,1
742,leuphana universitat luneburg,LAND NIEDERSACHSEN,1
743,lingnan university,HK ISLAND,1
